Latin;Status;Current;Mnemonic;Family;Authority;Notes
Vasconcellea cauliflora;Accepted;Vasconcellea cauliflora;carica;Caricaceae;(Jacq.) A.DC.;This species appears in Croat as Carica cauliflora, but the species was not found in the 50-ha plot until 2010. We identified it in other plots in the 1990s, though, using the old name, but it is now updated to V. califlora in our database. (Badillo 2000 in Ernstia).
Verbesina gigantea;Accepted;Verbesina gigantea;verbgi;Asteraceae;Jacq.;Croat included this taxon, but it was not identified in the 50-ha plot until the 2000 census and thus does not appear in 1996 paper.
Virola bozo;Obsolete;Virola multiflora;virosp;Myristicaceae;;Our original name in 1982 for a Virola not matching any known BCI species. In the 1996 paper, it appears as Virola sp. nov., as if it was a novel species. But it was later identified as V. multiflora
Virola multiflora;Accepted;Virola multiflora;virosp;Myristicaceae;(Standl.) A.C.Sm.;Labeled as unidentified morphospecies V. bozo in original BCI census, and listed as Virola sp. nov. in 1996 paper. By the 2004 paper, it was identified and appears as V. mutliflora there.
Virola nobilis;Accepted;Virola nobilis;virosu;Myristicaceae;A.C. Sm.;Croat published V. surinamensis for the tallest BCI Virola, but lists V. nobilis as a synonym, and originally identified specimens as V. nobilis. Later, Gentry incorrectly reidentified as V. surinamensis. Rodriguez in 2007 identified BCI specimens as V. nobilis, but Tropicos has both names in Panama and Costa Rica. 
Virola sebifera;Accepted;Virola sebifera;virose;Myristicaceae;Aubl.;
Virola sp. nov.;Obsolete;Virola multiflora;virosp;Myristicaceae;;This is the name used in the 1996 paper for the Virola morphospecies, given the less stodgy name of Virola bozo in our databases. Later identified as V. multiflora, not a new species at all.
Virola surinamensis;Obsolete;Virola nobilis;virosu;Myristicaceae;(Rol. ex Rottb.) Warb.;"This was Croat’s name, following an early misidentification of Gentry’s; we published it in the 1996 and 2004 papers (Croat listed V. nobilis as a synonym). As of 2007, however, Rodriguez advised that BCI specimens are V. nobilis. V. surinamensis remains valid in S. America. See more comments under V. nobilis. "
Vismia baccifera;Accepted;Vismia baccifera;vismba;Clusiaceae;(L.) Triana & Planch.;
Vismia billbergiana;Accepted;Vismia billbergiana;vismbi;Clusiaceae;Beurl.;
Vismia macrophylla;Accepted;Vismia macrophylla;vismma;Clusiaceae;Kunth;
Vochysia ferruginea;Accepted;Vochysia ferruginea;vochfe;Vochysiaceae;Mart.;
Xylopia macrantha;Accepted;Xylopia macrantha;xyl1ma;Annonaceae;Triana & Planch.;
Xylosma chlorantha;Accepted;Xylosma chlorantha;xyl2ch;Salicaceae;Donn.Sm.;Croat misspelled this X. chloranthum and we repeated the error in the 1996 paper.
Xylosma chloranthum;Obsolete;Xylosma chlorantha;xyl2ch;Salicaceae;;Croat's misspelling of X. chorantha. We used it in the 1997 paper. As for X. oligandra, silly Latin gender.
Xylosma oligandra;Accepted;Xylosma oligandra;xyl2ol;Salicaceae;Donn. Sm.;Croat misspelled this X. oligandrum and we repeated the error in the 1996 paper.
Xylosma oligandrum;Obsolete;Xylosma oligandra;xyl2ol;Salicaceae;;Croat's misspelling of X. oligandrum. We used it in the 1997 paper. As for X. chlorantha, silly Latin gender.
Zanthoxylum acuminatum;Accepted;Zanthoxylum acuminatum;zantpr;Rutaceae;(Sw.) Sw.;Originally Z. procerum in Croat, and in our 1996 paper under that name. We then used Z. juniperinum for some time, and that's how it appeared in 2004 paper. Reynel identified all BCI specimens at Tropicos as this in 1993, with subsp. juniperinum.
Zanthoxylum belizense;Obsolete;Zanthoxylum ekmanii;zantbe;Rutaceae;;Croat's name, and we used in 1996 paper. Reynel reidentified BCI specimens as Z. ekmanii in 1993. Reynel (1995) PhD dissertation not yet consulted. Also see Manual CR.
Zanthoxylum ekmanii;Accepted;Zanthoxylum ekmanii;zantbe;Rutaceae;(Urb.) Alain;Formerly Z. belizense, reidentified by Reynel in 1993 at Tropicos.
Zanthoxylum juniperinum;Obsolete;Zanthoxylum panamense;zantpr;Rutaceae;Poepp.;This name is used for Z. procerum/Z. acuminatum subsp. juniperinum by several treatments. See Manual CR. We used it in 2004 paper, but Z. procerum (following Croat) in the 1996 paper.
Zanthoxylum panamense;Accepted;Zanthoxylum panamense;zantp1;Rutaceae;P.Wilson;
Zanthoxylum procerum;Obsolete;Zanthoxylum acuminatum;zantpr;Rutaceae;;Name used by Croat, and we used through 1996 paper. Reynel identified Croat's BCI specimen as Z. acuminatum subsp. juniperinum in 1995. Reynel (1995) PhD dissertation not seen yet.
Zanthoxylum setulosum;Accepted;Zanthoxylum setulosum;zantse;Rutaceae;P.Wilson;
Zuelania guidonia;Accepted;Zuelania guidonia;zuelgu;Salicaceae;(Sw.) Britton & Millsp.;
